symbol,date,open,high,low,close,volume
20MICRONS,2025-06-16,226.8,250.1,218.85,238.73,207251
20MICRONS,2025-06-17,244.99,245.0,231.65,236.99,375161
20MICRONS,2025-06-18,234.6,237.28,231.2,232.98,65322
20MICRONS,2025-06-19,232.98,239.0,224.0,225.29,92236
20MICRONS,2025-06-20,225.29,227.99,221.17,224.0,98100
20MICRONS,2025-06-23,224.0,225.24,220.59,222.91,87153
20MICRONS,2025-06-24,226.68,231.4,224.8,228.27,97583
20MICRONS,2025-06-25,228.0,233.79,227.89,231.61,66339
20MICRONS,2025-06-26,232.5,234.5,228.41,230.29,59192
20MICRONS,2025-06-27,234.0,237.86,228.51,229.36,103324
20MICRONS,2025-06-30,226.2,234.89,226.2,231.28,147501
20MICRONS,2025-07-01,233.6,235.85,228.74,231.94,81262
20MICRONS,2025-07-02,230.3,237.01,227.0,228.07,127756
20MICRONS,2025-07-03,227.0,227.92,224.0,225.5,116453
20MICRONS,2025-07-04,224.15,231.0,219.88,228.62,175606
20MICRONS,2025-07-07,228.6,231.23,222.03,223.63,119324
20MICRONS,2025-07-08,223.63,226.29,220.03,223.17,76075
20MICRONS,2025-07-09,226.95,226.95,220.2,220.75,101018
20MICRONS,2025-07-10,223.0,232.2,221.17,227.61,251129
20MICRONS,2025-07-11,226.5,227.78,222.27,223.66,91872
20MICRONS,2025-07-14,224.0,224.57,221.25,223.42,57629
20MICRONS,2025-07-15,225.65,226.98,221.6,224.93,93691
20MICRONS,2025-07-16,228.0,268.0,227.11,259.75,4013967
20MICRONS,2025-07-17,259.9,259.9,251.42,255.01,517794
20MICRONS,2025-07-18,256.88,273.0,251.0,264.99,1441882
20MICRONS,2025-07-21,266.55,270.99,256.41,258.52,486773
20MICRONS,2025-07-22,261.1,280.0,257.43,274.28,1055797
20MICRONS,2025-07-23,277.0,283.93,272.59,278.03,728200
20MICRONS,2025-07-24,275.0,275.66,269.0,270.33,157093
20MICRONS,2025-07-25,270.33,277.8,263.12,268.56,375963
20MICRONS,2025-07-28,267.02,267.02,233.6,239.47,585661
20MICRONS,2025-07-29,236.5,263.99,236.5,253.3,1090171
20MICRONS,2025-07-30,254.3,258.3,242.4,244.85,190326
20MICRONS,2025-07-31,239.95,246.51,231.36,234.47,371909
20MICRONS,2025-08-01,234.41,241.03,233.56,235.65,205134
20MICRONS,2025-08-04,237.88,246.0,235.65,244.33,258114
20MICRONS,2025-08-05,244.33,246.03,234.05,236.15,258339
20MICRONS,2025-08-06,238.0,238.99,231.45,232.73,132660
20MICRONS,2025-08-07,231.5,235.57,229.22,234.04,126834
20MICRONS,2025-08-08,234.5,237.6,230.05,231.85,94544
20MICRONS,2025-08-11,231.5,233.4,229.81,231.93,94942
20MICRONS,2025-08-12,231.93,236.51,228.5,230.78,90253
20MICRONS,2025-08-13,231.7,234.5,229.05,230.02,73115
20MICRONS,2025-08-14,230.95,232.37,227.75,228.65,57648
20MICRONS,2025-08-18,230.33,230.36,226.1,227.4,132356
20MICRONS,2025-08-19,227.5,246.61,226.0,240.8,295207
20MICRONS,2025-08-20,239.9,240.59,235.76,237.4,86508
